league_id,name,name_en,country,season,url
1,ליגה לאומית,National League,Israel,2025-26,https://ibasketball.co.il/league/2025-2/
2,ליגה ארצית צפון,National North League,Israel,2025-26,https://ibasketball.co.il/league/2025-3/
3,ליגה ארצית דרום,National South League,Israel,2025-26,https://ibasketball.co.il/league/2025-4/
4,נוער על צפון,U18 North,Israel,2025-26,https://ibasketball.co.il/league/2025-101/
5,נוער על דרום,U18 South,Israel,2025-26,https://ibasketball.co.il/league/2025-102/
6,נערים א' לאומית צפון,U16 North,Israel,2025-26,https://ibasketball.co.il/league/2025-152/
7,נערים א' לאומית דרום,U16 South,Israel,2025-26,https://ibasketball.co.il/league/2025-153/
8,ליגה לאומית נשים,Women National League,Israel,2025-26,https://ibasketball.co.il/league/2025-52/
9,נערות א' על,U18 Women,Israel,2025-26,https://ibasketball.co.il/league/2025-451/
10,ליגת Winner סל,Winner League,Israel,2025-26,https://basket.co.il/
11,ליגת העל לנשים,Women Premier League,Israel,2025-26,https://ibasketball.co.il/league/2025-51/
