game_id,league_id,player_id,player_name,team,team_id,game_date,number,starter,min,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate
1_741605,1,eaaa66e6ad82,איאן מרטינז,אליצור יבנה,168,08/10/2025,24,1,35,29,9,12,75.0,1,7,14.3,10,19,52.6,8,9,88.9,10,1,11,2,7,0,4,4,0,0,35
1_741605,1,6b9865c5fde1,סי ג'יי ווקר,אליצור יבנה,168,08/10/2025,14,1,32,33,10,19,52.6,1,2,50.0,11,21,52.4,10,12,83.3,3,4,7,3,9,1,1,1,2,0,37
1_741605,1,cd74ad0f28af,אור פורר,אליצור יבנה,168,08/10/2025,8,1,30,4,2,8,25.0,0,2,0.0,2,10,20.0,0,1,0.0,8,3,11,3,4,0,2,6,0,1,10
1_741605,1,9cdf7a871ee2,עוז חולי,אליצור יבנה,168,08/10/2025,2,1,29,11,3,4,75.0,1,4,25.0,4,8,50.0,2,5,40.0,0,0,0,0,2,1,1,2,0,0,8
1_741605,1,df83651ed6b0,שגיב דוד,אליצור יבנה,168,08/10/2025,4,1,27,1,0,0,0.0,0,2,0.0,0,2,0.0,1,2,50.0,4,1,5,2,2,2,0,6,1,0,12
1_741605,1,d45e19bfe008,אורי חי,אליצור יבנה,168,08/10/2025,11,0,16,4,0,1,0.0,1,1,100.0,1,2,50.0,1,3,33.3,2,0,2,2,1,1,0,0,1,0,4
1_741605,1,fb0aa67e8009,עומר אל על,אליצור יבנה,168,08/10/2025,12,0,12,4,2,2,100.0,0,2,0.0,2,4,50.0,0,0,0.0,1,1,2,2,0,1,2,2,0,0,3
1_741605,1,973da7ad1232,עידן אברהם,אליצור יבנה,168,08/10/2025,23,0,11,1,0,2,0.0,0,0,0.0,0,2,0.0,1,2,50.0,4,1,5,3,1,0,0,1,3,0,5
1_741605,1,383cbcce0e66,יהלי שושן,אליצור יבנה,168,08/10/2025,18,0,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,3,0,1,0,1,0,0,0
1_741605,1,b5b7fc3b6eb0,דניאל גריידי,אליצור יבנה,168,08/10/2025,10,0,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1_741605,1,db92d64092c2,נאור שרון,מכבי חיפה,69,08/10/2025,17,1,33,4,1,5,20.0,0,4,0.0,1,9,11.1,2,2,100.0,5,0,5,1,4,0,3,10,0,0,11
1_741605,1,faf943a8d0fe,ג'יילן לאמאר הרפר,מכבי חיפה,69,08/10/2025,66,1,26,15,2,9,22.2,1,8,12.5,3,17,17.6,8,12,66.7,3,0,3,4,6,0,0,2,0,1,3
1_741605,1,f13e0eb26e8c,אילון ששון,מכבי חיפה,69,08/10/2025,3,1,26,6,2,4,50.0,0,0,0.0,2,4,50.0,2,2,100.0,4,5,9,5,3,1,2,1,0,1,10
1_741605,1,21681d98f1d8,אביתר מור יוסף,מכבי חיפה,69,08/10/2025,77,1,22,7,2,3,66.7,1,7,14.3,3,10,30.0,0,0,0.0,0,0,0,2,0,2,0,1,0,0,1
1_741605,1,c9a73aa44596,קורן משה,מכבי חיפה,69,08/10/2025,41,1,7,8,4,7,57.1,0,0,0.0,4,7,57.1,0,0,0.0,1,1,2,2,0,0,0,1,0,1,5
1_741605,1,ba2ec8e6cdba,ג'וש פרידקין,מכבי חיפה,69,08/10/2025,12,0,22,8,0,0,0.0,2,3,66.7,2,3,66.7,2,2,100.0,1,0,1,4,2,0,0,2,0,0,8
1_741605,1,720d6dc55268,נווה מינץ,מכבי חיפה,69,08/10/2025,13,0,20,8,4,9,44.4,0,0,0.0,4,9,44.4,0,0,0.0,8,3,11,1,1,1,0,0,1,2,14
1_741605,1,efd6f836e243,ג'וש פרייס,מכבי חיפה,69,08/10/2025,99,0,17,17,5,8,62.5,1,2,50.0,6,10,60.0,4,6,66.7,4,2,6,4,4,0,2,2,0,1,16
1_741605,1,15a5266b0c2f,יוגב עובדיה,מכבי חיפה,69,08/10/2025,18,0,12,0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0.0,1,0,1,1,0,0,1,1,0,0,-4
1_741605,1,7da59f12a870,רזיאל חיון,מכבי חיפה,69,08/10/2025,7,0,9,3,0,1,0.0,1,3,33.3,1,4,25.0,0,0,0.0,2,1,3,2,0,0,1,1,0,1,0
1_741605,1,dad9f613e89f,אלון ראכלין,מכבי חיפה,69,08/10/2025,9,0,4,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1
1_741602,1,a200154dfa5c,אקסבייר ג'ונסון,הפועל חיפה,4153,08/10/2025,11,1,37,20,3,9,33.3,3,6,50.0,6,15,40.0,5,8,62.5,9,5,14,5,6,5,1,1,0,0,28
1_741602,1,626da662ea85,וסלי האריס,הפועל חיפה,4153,08/10/2025,1,1,35,12,3,9,33.3,0,4,0.0,3,13,23.1,6,8,75.0,5,4,9,3,6,0,2,6,0,1,14
1_741602,1,a88d629276eb,דניאל רוזנבאום,הפועל חיפה,4153,08/10/2025,5,1,34,14,3,4,75.0,1,6,16.7,4,10,40.0,5,5,100.0,3,1,4,3,3,4,1,2,0,0,17
1_741602,1,2b2dfc45fcc5,עידו רוימי,הפועל חיפה,4153,08/10/2025,83,1,30,12,0,1,0.0,3,7,42.9,3,8,37.5,3,4,75.0,4,0,4,2,2,2,2,1,0,1,10
1_741602,1,cf1b236bf74c,דנאל כוזהינוף,הפועל חיפה,4153,08/10/2025,36,1,25,8,1,3,33.3,2,8,25.0,3,11,27.3,0,0,0.0,2,1,3,3,1,1,1,3,0,1,3
1_741602,1,e62ebf745712,שוהם גת,הפועל חיפה,4153,08/10/2025,10,0,24,13,1,2,50.0,3,8,37.5,4,10,40.0,2,2,100.0,1,0,1,2,3,0,0,3,0,0,12
1_741602,1,27c13b8b0562,רותם לוינשטיין,הפועל חיפה,4153,08/10/2025,13,0,10,0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,2,1,1,0,0,0,0,-1
1_741602,1,7121e39cbbe9,גיא חמו,הפועל חיפה,4153,08/10/2025,14,0,6,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,-2
1_741602,1,936f4ebaeb5c,דימיטריוס טרידוול,אליצור שומרון,4083,08/10/2025,2,1,35,13,6,9,66.7,0,0,0.0,6,9,66.7,1,5,20.0,8,2,10,3,7,1,0,1,0,0,21
1_741602,1,14b5ed1cbd20,וינס קול,אליצור שומרון,4083,08/10/2025,24,1,32,19,5,9,55.6,2,5,40.0,7,14,50.0,3,4,75.0,4,0,4,3,4,1,3,2,1,0,17
1_741602,1,df48d42290e4,מתן חכמו,אליצור שומרון,4083,08/10/2025,69,1,27,8,4,6,66.7,0,1,0.0,4,7,57.1,0,2,0.0,4,0,4,5,1,1,5,4,0,0,3
1_741602,1,547e136db001,רועי בכר,אליצור שומרון,4083,08/10/2025,7,1,25,14,1,2,50.0,4,6,66.7,5,8,62.5,0,0,0.0,2,1,3,5,2,0,0,0,0,0,11
1_741602,1,df7f6a047c8c,יונתן מור,אליצור שומרון,4083,08/10/2025,9,1,23,2,1,2,50.0,0,4,0.0,1,6,16.7,0,0,0.0,5,0,5,1,0,0,5,3,1,0,0
1_741602,1,c2fbea50b179,פול דלייני,אליצור שומרון,4083,08/10/2025,28,0,26,18,5,5,100.0,1,1,100.0,6,6,100.0,5,5,100.0,3,0,3,3,4,0,4,2,1,0,21
1_741602,1,ce7ec8e93c0e,יונתן אבולוף,אליצור שומרון,4083,08/10/2025,14,0,20,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,3,0,3,2,0,1,0,3,0,0,3
1_741602,1,e5b1a0211e78,עומר דרגושנסקי,אליצור שומרון,4083,08/10/2025,5,0,6,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,0,0,0,-2
