game_id,league_id,team,team_id,opponent,opponent_id,game_date,quarter,score,score_against
1_741605,1,אליצור יבנה,168,מכבי חיפה,69,08/10/2025,Q1,23,22
1_741605,1,אליצור יבנה,168,מכבי חיפה,69,08/10/2025,Q2,17,23
1_741605,1,אליצור יבנה,168,מכבי חיפה,69,08/10/2025,Q3,28,17
1_741605,1,אליצור יבנה,168,מכבי חיפה,69,08/10/2025,Q4,19,14
1_741605,1,מכבי חיפה,69,אליצור יבנה,168,08/10/2025,Q1,22,23
1_741605,1,מכבי חיפה,69,אליצור יבנה,168,08/10/2025,Q2,23,17
1_741605,1,מכבי חיפה,69,אליצור יבנה,168,08/10/2025,Q3,17,28
1_741605,1,מכבי חיפה,69,אליצור יבנה,168,08/10/2025,Q4,14,19
1_741602,1,הפועל חיפה,4153,אליצור שומרון,4083,08/10/2025,Q1,19,16
1_741602,1,הפועל חיפה,4153,אליצור שומרון,4083,08/10/2025,Q2,23,23
1_741602,1,הפועל חיפה,4153,אליצור שומרון,4083,08/10/2025,Q3,17,10
1_741602,1,הפועל חיפה,4153,אליצור שומרון,4083,08/10/2025,Q4,20,25
1_741602,1,אליצור שומרון,4083,הפועל חיפה,4153,08/10/2025,Q1,16,19
1_741602,1,אליצור שומרון,4083,הפועל חיפה,4153,08/10/2025,Q2,23,23
1_741602,1,אליצור שומרון,4083,הפועל חיפה,4153,08/10/2025,Q3,10,17
1_741602,1,אליצור שומרון,4083,הפועל חיפה,4153,08/10/2025,Q4,25,20
1_741606,1,מכבי אשדוד,7261,א.ס. עירוני אשקלון,920,09/10/2025,Q1,16,21
1_741606,1,מכבי אשדוד,7261,א.ס. עירוני אשקלון,920,09/10/2025,Q2,22,22
1_741606,1,מכבי אשדוד,7261,א.ס. עירוני אשקלון,920,09/10/2025,Q3,34,21
1_741606,1,מכבי אשדוד,7261,א.ס. עירוני אשקלון,920,09/10/2025,Q4,20,24
1_741606,1,א.ס. עירוני אשקלון,920,מכבי אשדוד,7261,09/10/2025,Q1,21,16
1_741606,1,א.ס. עירוני אשקלון,920,מכבי אשדוד,7261,09/10/2025,Q2,22,22
1_741606,1,א.ס. עירוני אשקלון,920,מכבי אשדוד,7261,09/10/2025,Q3,21,34
1_741606,1,א.ס. עירוני אשקלון,920,מכבי אשדוד,7261,09/10/2025,Q4,24,20
1_741607,1,הפועל מגדל העמק/יזרעאל,2267,מ.ס צפת,4818,10/10/2025,Q1,23,23
1_741607,1,הפועל מגדל העמק/יזרעאל,2267,מ.ס צפת,4818,10/10/2025,Q2,23,8
1_741607,1,הפועל מגדל העמק/יזרעאל,2267,מ.ס צפת,4818,10/10/2025,Q3,23,31
1_741607,1,הפועל מגדל העמק/יזרעאל,2267,מ.ס צפת,4818,10/10/2025,Q4,21,18
1_741607,1,מ.ס צפת,4818,הפועל מגדל העמק/יזרעאל,2267,10/10/2025,Q1,23,23
1_741607,1,מ.ס צפת,4818,הפועל מגדל העמק/יזרעאל,2267,10/10/2025,Q2,8,23
1_741607,1,מ.ס צפת,4818,הפועל מגדל העמק/יזרעאל,2267,10/10/2025,Q3,31,23
1_741607,1,מ.ס צפת,4818,הפועל מגדל העמק/יזרעאל,2267,10/10/2025,Q4,18,21
1_741601,1,מ.כ עוטף דרום,12645,מכבי קרית גת,3043,10/10/2025,Q1,24,22
1_741601,1,מ.כ עוטף דרום,12645,מכבי קרית גת,3043,10/10/2025,Q2,26,16
1_741601,1,מ.כ עוטף דרום,12645,מכבי קרית גת,3043,10/10/2025,Q3,24,30
1_741601,1,מ.כ עוטף דרום,12645,מכבי קרית גת,3043,10/10/2025,Q4,20,19
1_741601,1,מכבי קרית גת,3043,מ.כ עוטף דרום,12645,10/10/2025,Q1,22,24
1_741601,1,מכבי קרית גת,3043,מ.כ עוטף דרום,12645,10/10/2025,Q2,16,26
1_741601,1,מכבי קרית גת,3043,מ.כ עוטף דרום,12645,10/10/2025,Q3,30,24
1_741601,1,מכבי קרית גת,3043,מ.כ עוטף דרום,12645,10/10/2025,Q4,19,20
