game_id,league_id,team,team_id,opponent,opponent_id,game_date,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate,bench_pts,fast_break_pts,points_in_paint,נקודות מהזדמנות שנייה:,נקודות מאיבודים:
1_741605,1,אליצור יבנה,168,מכבי חיפה,69,08/10/2025,87,26,48,54.2,4,20,20.0,30,68,44.1,23,34,67.6,36,13,49,20,26,7,11,23,7,1,118,9,20,48,10,13
1_741605,1,מכבי חיפה,69,אליצור יבנה,168,08/10/2025,76,20,49,40.8,6,29,20.7,26,78,33.3,18,24,75.0,31,19,50,26,20,4,10,21,1,7,71,36,14,32,19,11
1_741602,1,הפועל חיפה,4153,אליצור שומרון,4083,08/10/2025,79,11,29,37.9,12,42,28.6,23,71,32.4,21,27,77.8,24,17,41,20,22,14,9,16,0,3,85,13,14,18,15,21
1_741602,1,אליצור שומרון,4083,הפועל חיפה,4153,08/10/2025,74,22,34,64.7,7,19,36.8,29,53,54.7,9,16,56.2,32,5,37,23,19,4,18,15,3,0,79,18,15,36,4,7
1_741606,1,מכבי אשדוד,7261,א.ס. עירוני אשקלון,920,09/10/2025,92,29,43,67.4,9,27,33.3,38,70,54.3,7,10,70.0,24,13,37,19,18,7,14,24,4,1,113,10,14,56,17,17
1_741606,1,א.ס. עירוני אשקלון,920,מכבי אשדוד,7261,09/10/2025,88,19,51,37.3,12,28,42.9,31,79,39.2,14,17,82.4,21,24,45,18,19,6,12,18,1,4,92,34,14,34,20,20
1_741607,1,הפועל מגדל העמק/יזרעאל,2267,מ.ס צפת,4818,10/10/2025,90,20,39,51.3,12,27,44.4,32,66,48.5,14,21,66.7,28,8,36,20,18,7,11,22,2,1,102,30,20,36,11,18
1_741607,1,מ.ס צפת,4818,הפועל מגדל העמק/יזרעאל,2267,10/10/2025,80,19,36,52.8,10,29,34.5,29,65,44.6,12,17,70.6,28,9,37,18,20,2,15,24,1,2,88,18,13,38,12,10
1_741601,1,מ.כ עוטף דרום,12645,מכבי קרית גת,3043,10/10/2025,94,20,33,60.6,7,25,28.0,27,58,46.6,33,43,76.7,28,9,37,22,30,11,15,27,2,1,122,25,28,40,8,18
1_741601,1,מכבי קרית גת,3043,מ.כ עוטף דרום,12645,10/10/2025,87,23,47,48.9,9,23,39.1,32,70,45.7,14,17,82.4,27,11,38,30,22,7,18,14,1,2,78,17,17,42,14,10
