league_id,gameid,League,Code,Week Day,Date,Round,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
1,1_741605,לאומית,741605,יום רביעי,08/10/2025,1,18:30,אליצור יבנה,168,מכבי חיפה,69,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",87.0,76.0
1,1_741600,לאומית,741600,יום רביעי,08/10/2025,1,19:00,הפועל נהריה,26,"א.ס רמה""ש",585,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",26.0,16.0
1,1_741602,לאומית,741602,יום רביעי,08/10/2025,1,19:00,הפועל חיפה,4153,אליצור שומרון,4083,"היכל הספורט רוממה, חיפה",79.0,74.0
1,1_741606,לאומית,741606,יום חמישי,09/10/2025,1,20:30,מכבי אשדוד,7261,א.ס. עירוני אשקלון,920,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",92.0,88.0
1,1_741607,לאומית,741607,יום שישי,10/10/2025,1,13:00,הפועל מגדל העמק/יזרעאל,2267,מ.ס צפת,4818,"ביה""ס יערת העמק, מגדל העמק",90.0,80.0
1,1_741601,לאומית,741601,יום שישי,10/10/2025,1,13:15,מ.כ עוטף דרום,12645,מכבי קרית גת,3043,"מועצה אזורית אשכול, קיבוץ מגן",94.0,87.0
1,1_741608,לאומית,741608,יום רביעי,15/10/2025,2,18:00,הפועל נהריה,26,מ.כ עוטף דרום,12645,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
1,1_741687,לאומית,741687,יום רביעי,15/10/2025,11,18:30,מכבי רחובות,75,אליצור שומרון,4083,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
1,1_741610,לאומית,741610,יום רביעי,15/10/2025,2,19:00,מכבי חיפה,69,מכבי אשדוד,7261,"היכל הספורט רוממה, חיפה",,
1,1_741609,לאומית,741609,יום רביעי,15/10/2025,2,19:15,א.ס. עירוני אשקלון,920,הפועל מגדל העמק/יזרעאל,2267,"שד' בן גוריון 37, אשקלון",,
1,1_741614,לאומית,741614,יום רביעי,15/10/2025,2,19:30,מכבי קרית גת,3043,הפועל חיפה,4153,"רח' אבני החושן, קרית גת",,
1,1_741615,לאומית,741615,יום שישי,17/10/2025,2,12:45,"א.ס רמה""ש",585,מ.ס צפת,4818,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
1,1_741611,לאומית,741611,יום שישי,17/10/2025,2,13:00,מכבי פתח תקווה,42,אליצור יבנה,168,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
1,1_741618,לאומית,741618,יום שלישי,21/10/2025,3,18:30,מכבי מעלה אדומים,3745,מכבי קרית גת,3043,"רח' דרך הגיא 5, מעלה אדומים",,
1,1_741619,לאומית,741619,יום שלישי,21/10/2025,3,18:45,הפועל אילת,1278,אליצור שומרון,4083,"אולם בגין, רח' הספורטאים 1, אילת",,
1,1_741620,לאומית,741620,יום שלישי,21/10/2025,3,19:00,אליצור יבנה,168,מכבי רחובות,75,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
1,1_741621,לאומית,741621,יום שלישי,21/10/2025,3,19:00,מכבי אשדוד,7261,מכבי פתח תקווה,42,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
1,1_741623,לאומית,741623,יום שלישי,21/10/2025,3,19:30,מ.ס צפת,4818,א.ס. עירוני אשקלון,920,"אולם הפיס, רח' ז'בוטינסקי 1, צפת",,
1,1_741616,לאומית,741616,יום שלישי,21/10/2025,3,19:30,מ.כ עוטף דרום,12645,"א.ס רמה""ש",585,"מועצה אזורית אשכול, קיבוץ מגן",,
1,1_741622,לאומית,741622,יום שישי,24/10/2025,3,13:30,הפועל מגדל העמק/יזרעאל,2267,מכבי חיפה,69,"ביה""ס יערת העמק, מגדל העמק",,
1,1_741617,לאומית,741617,יום שישי,24/10/2025,3,13:45,הפועל חיפה,4153,הפועל נהריה,26,"היכל הספורט רוממה, חיפה",,
1,1_741628,לאומית,741628,יום שלישי,28/10/2025,4,18:30,מכבי רחובות,75,מכבי אשדוד,7261,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
1,1_741624,לאומית,741624,יום שלישי,28/10/2025,4,19:00,הפועל נהריה,26,מכבי מעלה אדומים,3745,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",,
1,1_741631,לאומית,741631,יום שלישי,28/10/2025,4,19:00,"א.ס רמה""ש",585,א.ס. עירוני אשקלון,920,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
1,1_741630,לאומית,741630,יום שלישי,28/10/2025,4,19:15,מכבי קרית גת,3043,הפועל אילת,1278,"רח' אבני החושן, קרית גת",,
1,1_741627,לאומית,741627,יום שלישי,28/10/2025,4,19:30,מכבי פתח תקווה,42,הפועל מגדל העמק/יזרעאל,2267,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
1,1_741625,לאומית,741625,יום שלישי,28/10/2025,4,19:30,מ.כ עוטף דרום,12645,הפועל חיפה,4153,"מועצה אזורית אשכול, קיבוץ מגן",,
1,1_741629,לאומית,741629,יום שישי,31/10/2025,4,12:30,אליצור שומרון,4083,אליצור יבנה,168,"ישיבת אמית, ברוכין",,
1,1_741626,לאומית,741626,יום שישי,31/10/2025,4,12:45,מכבי חיפה,69,מ.ס צפת,4818,"היכל הספורט רוממה, חיפה",,
1,1_741637,לאומית,741637,יום שלישי,04/11/2025,5,18:30,הפועל מגדל העמק/יזרעאל,2267,מכבי רחובות,75,"ביה""ס יערת העמק, מגדל העמק",,
1,1_741639,לאומית,741639,יום שלישי,04/11/2025,5,19:00,א.ס. עירוני אשקלון,920,מכבי חיפה,69,"שד' בן גוריון 37, אשקלון",,
1,1_741634,לאומית,741634,יום שלישי,04/11/2025,5,19:00,הפועל אילת,1278,הפועל נהריה,26,"אולם בגין, רח' הספורטאים 1, אילת",,
