player_id,Name,Current Team,team_id,league_id,Date Of Birth,Height,Number,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
26989fc69037,אביב קוקוטק,א.ס. עירוני אשקלון,920,1,2005/01/26,1.86,13.0,הפועל עמק חפר (ארצית צפון),הפועל גלבוע מעיינות (נוער על גמרסל),,,,,,,,,,
55406dc5833b,אביב שמעוני,הפועל מגדל העמק/יזרעאל,2267,1,1996/08/28,1.98,14.0,אליצור שומרון חלפ (לאומית),אליצור שומרון חלפ (לאומית),הפועל רמת גן/גבעתיים (לאומית),"א.ס. רמה""ש ירק השדה (לאומית)","א.ס. רמה""ש ירק השדה (לאומית)","א.ס. רמה""ש ירק השדה (לאומית)",מכבי רעננה עירוני (לאומית),הפועל נווה שאנן חיפה שובל (לאומית),,,,
b3ac1bdf8655,אבישי יטח,הפועל חיפה,4153,1,2006/03/08,2.04,8.0,"הפועל עפולה (ליגת על), הפועל עפולה חן (נוער על תחתון צפון)",,,,,,,,,,,
21681d98f1d8,אביתר מור יוסף,מכבי חיפה,69,1,2001/07/22,1.9,77.0,א.ס. עירוני אשקלון (לאומית),בני הרצליה פנלינק (ליגת על),הפועל חבל מודיעין (לאומית),הפועל חבל מודיעין (לאומית),"הפועל עמק חפר רופין (נוער לאומית צפון), הפועל עמק חפר (ארצית צפון)",,,,,,,
3e059245c275,אדוארד קושניר,מכבי פתח תקווה,42,1,2005/03/27,2.0,15.0,הפועל חבל מודיעין (ארצית דרום),מכבי רעננה עירוני (נוער לאומית צפון),,,,,,,,,,
ff6ba9b9ea90,אדר אוליאל,א.ס. עירוני אשקלון,920,1,2007/03/11,1.97,,,,,,,,,,,,,
bf85df07a49f,אוהד דקל,מ.כ עוטף דרום,12645,1,2002/08/31,,16.0,הפועל מגידו (ארצית צפון),,,,,,,,,,,
6af2707f5304,אופיר גולדשטיין,מכבי פתח תקווה,42,1,2001/12/06,2.05,84.0,אליצור יבנה (לאומית),מכבי חיפה גיא (לאומית),"א.ס. רמה""ש ירק השדה (לאומית)",מכבי הוד השרון סנו (לאומית),"הפועל נס ציונה רוטנש (נוער על דרום), הפועל נס ציונה ליונס (ב דן), הפועל נס ציונה חי מו (ליגת על)",,,,,,,
79e30848e88f,אופק מלכה,"א.ס רמה""ש",585,1,2000/02/10,1.81,31.0,,"א.ס. רמה""ש ירק השדה (לאומית)",מכבי חיפה גיא (לאומית),מכבי רעננה עירוני (לאומית),"בני הרצליה פנלינק (ליגת על), מכבי הוד השרון סנו (לאומית), מכבי רעננה עירוני (לאומית)","בני הרצליה פנלינק (לאומית), מכבי הוד השרון סנו (לאומית)",מכבי הוד השרון סנו (לאומית),הפועל עמק חפר אלטשול (נוער על צפון),,,,
cbdc9532cd2e,אור חן,הפועל גליל עליון,,1,2005/05/11,1.92,23.0,,,,,,,,,,,,
cd74ad0f28af,אור פורר,אליצור יבנה,168,1,2006/08/22,1.85,8.0,אליצור יבנה דנן (נוער על תחתון דרום),,,,,,,,,,,
8eb506f92ebd,אורי זיו כהן,"א.ס רמה""ש",585,1,2005/02/13,2.0,25.0,"מכבי ת""א פלייטיקה (ליגת על), אליצור שומרון חלפ (לאומית)",אליצור נתניה עירוני (לאומית),מכבי תל אביב טדי (נוער על גמרסל),,,,,,,,,
