team,team_id,league_id,games_played,pts,pts_rank,pts_allowed,pts_allowed_rank,2ptm,2ptm_rank,2pta,2pta_rank,3ptm,3ptm_rank,3pta,3pta_rank,fgm,fgm_rank,fga,fga_rank,ftm,ftm_rank,fta,fta_rank,def,def_rank,off,off_rank,reb,reb_rank,pf,pf_rank,pfa,pfa_rank,stl,stl_rank,to,to_rank,ast,ast_rank,blk,blk_rank,blka,blka_rank,rate,rate_rank,bench_pts,bench_pts_rank,fast_break_pts,fast_break_pts_rank,points_in_paint,points_in_paint_rank,possessions,possessions_rank,2pt_pct,2pt_pct_rank,3pt_pct,3pt_pct_rank,fg_pct,fg_pct_rank,ft_pct,ft_pct_rank
א.ס. עירוני אשקלון,920,1,1,88.0,4,92.0,9,19.0,8,51.0,1,12.0,1,28.0,4,31.0,4,79.0,1,14.0,5,17.0,6,21.0,10,24.0,1,45.0,3,18.0,1,19.0,7,6.0,7,12.0,5,18.0,7,1.0,6,4.0,9,92.0,5,34.0,2,14.0,6,34.0,8,74.5,9,37.3,10,42.9,2,39.2,8,82.4,1
אליצור יבנה,168,1,1,87.0,5,76.0,2,26.0,2,48.0,3,4.0,10,20.0,9,30.0,5,68.0,6,23.0,2,34.0,2,36.0,1,13.0,4,49.0,2,20.0,4,26.0,2,7.0,3,11.0,3,23.0,4,7.0,1,1.0,2,118.0,2,9.0,10,20.0,2,48.0,2,81.0,3,54.2,4,20.0,10,44.1,7,67.6,8
אליצור שומרון,4083,1,1,74.0,10,79.0,3,22.0,4,34.0,8,7.0,7,19.0,10,29.0,6,53.0,10,9.0,9,16.0,9,32.0,2,5.0,10,37.0,6,23.0,8,19.0,7,4.0,8,18.0,9,15.0,9,3.0,3,0.0,1,79.0,8,18.0,5,15.0,5,36.0,6,73.0,10,64.7,2,36.8,4,54.7,1,56.2,10
הפועל חיפה,4153,1,1,79.0,8,74.0,1,11.0,10,29.0,10,12.0,1,42.0,1,23.0,10,71.0,3,21.0,3,27.0,3,24.0,8,17.0,3,41.0,4,20.0,4,22.0,3,14.0,1,9.0,1,16.0,8,0.0,10,3.0,8,85.0,7,13.0,8,14.0,6,18.0,10,74.9,8,37.9,9,28.6,7,32.4,10,77.8,3
הפועל מגדל העמק/יזרעאל,2267,1,1,90.0,3,80.0,4,20.0,5,39.0,6,12.0,1,27.0,5,32.0,2,66.0,7,14.0,5,21.0,5,28.0,4,8.0,9,36.0,10,20.0,4,18.0,9,7.0,3,11.0,3,22.0,5,2.0,4,1.0,2,102.0,4,30.0,3,20.0,2,36.0,6,78.2,6,51.3,6,44.4,1,48.5,3,66.7,9
מ.כ עוטף דרום,12645,1,1,94.0,1,87.0,5,20.0,5,33.0,9,7.0,7,25.0,7,27.0,8,58.0,9,33.0,1,43.0,1,28.0,4,9.0,7,37.0,6,22.0,7,30.0,1,11.0,2,15.0,7,27.0,1,2.0,4,1.0,2,122.0,1,25.0,4,28.0,1,40.0,4,82.9,2,60.6,3,28.0,8,46.6,4,76.7,4
מ.ס צפת,4818,1,1,80.0,7,90.0,8,19.0,8,36.0,7,10.0,4,29.0,2,29.0,6,65.0,8,12.0,8,17.0,6,28.0,4,9.0,7,37.0,6,18.0,1,20.0,5,2.0,10,15.0,7,24.0,2,1.0,6,2.0,6,88.0,6,18.0,5,13.0,10,38.0,5,78.5,5,52.8,5,34.5,5,44.6,6,70.6,6
מכבי אשדוד,7261,1,1,92.0,2,88.0,7,29.0,1,43.0,5,9.0,5,27.0,5,38.0,1,70.0,4,7.0,10,10.0,10,24.0,8,13.0,4,37.0,6,19.0,3,18.0,9,7.0,3,14.0,6,24.0,2,4.0,2,1.0,2,113.0,3,10.0,9,14.0,6,56.0,1,75.4,7,67.4,1,33.3,6,54.3,2,70.0,7
מכבי חיפה,69,1,1,76.0,9,87.0,5,20.0,5,49.0,2,6.0,9,29.0,2,26.0,9,78.0,2,18.0,4,24.0,4,31.0,3,19.0,2,50.0,1,26.0,9,20.0,5,4.0,8,10.0,2,21.0,6,1.0,6,7.0,10,71.0,10,36.0,1,14.0,6,32.0,9,79.6,4,40.8,8,20.7,9,33.3,9,75.0,5
מכבי קרית גת,3043,1,1,87.0,5,94.0,10,23.0,3,47.0,4,9.0,5,23.0,8,32.0,2,70.0,4,14.0,5,17.0,6,27.0,7,11.0,6,38.0,5,30.0,10,22.0,3,7.0,3,18.0,9,14.0,10,1.0,6,2.0,6,78.0,9,17.0,7,17.0,4,42.0,3,84.5,1,48.9,7,39.1,3,45.7,5,82.4,1
