league_id,gameid,League,Code,Week Day,Date,Round,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
8,8_750384,לאומית נשים,750384,יום שלישי,28/10/2025,1,18:30,בני יהודה,1273,הפועל לב ירושלים,218,"בית דני, סמטת כביר, תל אביב",,
8,8_750385,לאומית נשים,750385,יום שלישי,28/10/2025,1,19:00,מכבי רעננה,1152,הפועל כפר סבא,5157,"היכל אביב, רח' הפרחים 1, רעננה",,
8,8_750379,לאומית נשים,750379,יום שלישי,28/10/2025,1,19:30,מכבי הוד השרון,1497,עירוני אעבלין,7907,"אולם עתידים, רח' יאנוש קורצ'אק, הוד השרון",,
8,8_750381,לאומית נשים,750381,יום שלישי,28/10/2025,1,19:30,אליצור יבנה,2889,"א.ס רמה""ש ירק השדה",5984,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
8,8_750380,לאומית נשים,750380,יום שלישי,28/10/2025,1,20:00,אליצור נתניה,6108,הפועל מג'דל כרום,2962,"ביה""ס ישורון, רח' שמואל הנציב פינת ברנר, נתניה",,
8,8_750383,לאומית נשים,750383,יום שלישי,28/10/2025,1,20:30,עירוני נס ציונה,2534,מכבי תל אביב,3596,"לב המושבה, דוד אלעזר 26, נס ציונה",,
8,8_750382,לאומית נשים,750382,יום שלישי,28/10/2025,1,20:30,הפועל עמק יזרעאל,7547,בני הרצליה,2339,אולם קיבוץ גבת,,
8,8_750390,לאומית נשים,750390,יום שלישי,04/11/2025,2,19:30,"א.ס רמה""ש ירק השדה",5984,הפועל עמק יזרעאל,7547,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
8,8_750392,לאומית נשים,750392,יום שלישי,04/11/2025,2,20:00,עירוני אעבלין,7907,אליצור נתניה,6108,"יסודי ד', אולם ספורט מערבי, אעבלין",,
8,8_750387,לאומית נשים,750387,יום שלישי,04/11/2025,2,20:30,הפועל לב ירושלים,218,מכבי רעננה,1152,"מרכז קוסל, גבעת רם, האוניברסיטה העברית, ירושלים",,
8,8_750389,לאומית נשים,750389,יום שלישי,04/11/2025,2,20:30,בני הרצליה,2339,עירוני נס ציונה,2534,"גליל ים, רח' יצחק שמיר 2, הרצליה",,
8,8_750391,לאומית נשים,750391,יום שלישי,04/11/2025,2,20:30,הפועל מג'דל כרום,2962,אליצור יבנה,2889,"מרכז פיס, ליד ביה""ס תיכון, מג'דל כרום",,
8,8_750388,לאומית נשים,750388,יום שלישי,04/11/2025,2,20:30,מכבי תל אביב,3596,בני יהודה,1273,"מרכז ספורט עירוני הדר יוסף, רח' שטרית 2, תל אביב",,
8,8_750386,לאומית נשים,750386,יום שלישי,04/11/2025,2,20:30,הפועל גלבוע מעיינות,3657,מכבי הוד השרון,1497,גן נר,,
8,8_750399,לאומית נשים,750399,יום שלישי,11/11/2025,3,18:30,בני יהודה,1273,בני הרצליה,2339,"בית דני, סמטת כביר, תל אביב",,
8,8_750400,לאומית נשים,750400,יום שלישי,11/11/2025,3,19:00,מכבי רעננה,1152,מכבי תל אביב,3596,"היכל אביב, רח' הפרחים 1, רעננה",,
8,8_750396,לאומית נשים,750396,יום שלישי,11/11/2025,3,19:30,אליצור יבנה,2889,עירוני אעבלין,7907,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
8,8_750395,לאומית נשים,750395,יום שלישי,11/11/2025,3,20:00,אליצור נתניה,6108,הפועל גלבוע מעיינות,3657,"ביה""ס ישורון, רח' שמואל הנציב פינת ברנר, נתניה",,
8,8_750398,לאומית נשים,750398,יום שלישי,11/11/2025,3,20:30,עירוני נס ציונה,2534,"א.ס רמה""ש ירק השדה",5984,"לב המושבה, דוד אלעזר 26, נס ציונה",,
8,8_750401,לאומית נשים,750401,יום שלישי,11/11/2025,3,20:30,הפועל כפר סבא,5157,הפועל לב ירושלים,218,"היכל שלום, רח' אז""ר 51, כפר סבא",,
8,8_750397,לאומית נשים,750397,יום שלישי,11/11/2025,3,20:30,הפועל עמק יזרעאל,7547,הפועל מג'דל כרום,2962,אולם קיבוץ גבת,,
8,8_750403,לאומית נשים,750403,יום שלישי,25/11/2025,4,19:30,מכבי הוד השרון,1497,אליצור נתניה,6108,"אולם עתידים, רח' יאנוש קורצ'אק, הוד השרון",,
8,8_750406,לאומית נשים,750406,יום שלישי,25/11/2025,4,19:30,"א.ס רמה""ש ירק השדה",5984,בני יהודה,1273,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
8,8_750408,לאומית נשים,750408,יום שלישי,25/11/2025,4,20:00,עירוני אעבלין,7907,הפועל עמק יזרעאל,7547,"יסודי ד', אולם ספורט מערבי, אעבלין",,
8,8_750405,לאומית נשים,750405,יום שלישי,25/11/2025,4,20:30,בני הרצליה,2339,מכבי רעננה,1152,"גליל ים, רח' יצחק שמיר 2, הרצליה",,
8,8_750407,לאומית נשים,750407,יום שלישי,25/11/2025,4,20:30,הפועל מג'דל כרום,2962,עירוני נס ציונה,2534,"מרכז פיס, ליד ביה""ס תיכון, מג'דל כרום",,
8,8_750404,לאומית נשים,750404,יום שלישי,25/11/2025,4,20:30,מכבי תל אביב,3596,הפועל כפר סבא,5157,"מרכז ספורט עירוני הדר יוסף, רח' שטרית 2, תל אביב",,
8,8_750402,לאומית נשים,750402,יום שלישי,25/11/2025,4,20:30,הפועל גלבוע מעיינות,3657,אליצור יבנה,2889,גן נר,,
8,8_750414,לאומית נשים,750414,יום שלישי,02/12/2025,5,18:30,בני יהודה,1273,הפועל מג'דל כרום,2962,"בית דני, סמטת כביר, תל אביב",,
8,8_750415,לאומית נשים,750415,יום שלישי,02/12/2025,5,19:00,מכבי רעננה,1152,"א.ס רמה""ש ירק השדה",5984,"היכל אביב, רח' הפרחים 1, רעננה",,
8,8_750411,לאומית נשים,750411,יום שלישי,02/12/2025,5,19:30,אליצור יבנה,2889,מכבי הוד השרון,1497,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
8,8_750417,לאומית נשים,750417,יום שלישי,02/12/2025,5,20:30,הפועל לב ירושלים,218,מכבי תל אביב,3596,"מרכז קוסל, גבעת רם, האוניברסיטה העברית, ירושלים",,
8,8_750413,לאומית נשים,750413,יום שלישי,02/12/2025,5,20:30,עירוני נס ציונה,2534,עירוני אעבלין,7907,"לב המושבה, דוד אלעזר 26, נס ציונה",,
