club_name,variations,short_name,bg_color,text_color
א.ס רמה"ש,"א.ס רמה""ש ירק השדה|א.ס רמה&quot;ש ירק השדה|א.ס. רמת השרון|א.ס. רמת השרון גל",א.ס רמה"ש,#000000,#FFFFFF
א.ס. עירוני אשקלון,"א.ס. עירוני אשקלון|אליצור מכבי ע.אשקלון",עירוני אשקלון,#FF8000,#FFFFFF
אליצור יבנה,"אליצור יבנה|אליצור יבנה דנן|אליצור יבנה דבורה|אליצור יבנה שמשון|אליצור יבנה אופק|אליצור דוד יבנה|אליצור יבנה שרה",אליצור יבנה,#FFFF00,#003399
אס"א ירושלים,"אס""א ירושלים|אס&quot;א ירושלים",אס"א ירושלים,#AA0000,#FFFFFF
אליצור שומרון,"אליצור שומרון|אליצור שומרון חלפ|אליצור שומרון להב",אליצור שומרון,#003399,#FFFFFF
אליצור נוה דוד רמלה,"אליצור נוה דוד רמלה|אליצור נווה דוד רמלה|אליצור נוה דוד רמלה נשים",אליצור רמלה,#FFD700,#000000
אליצור חולון,"אליצור חולון|אליצור חולון שמיר",אליצור חולון,#9933FF,#FFFFFF
אליצור תל אביב,"אליצור תל אביב|אליצור ת""א בגין",אליצור ת"א,#FF66CC,#000000
הפועל אילת,"הפועל אילת|הפועל אילת זהר",הפועל אילת,#0066CC,#FFFFFF
הפועל באר שבע/דימונה,"הפועל באר שבע/דימונה|הפועל באר שבע-דימונה|הפועל ב""ש/דימונה|הפועל ב""ש/דימונה אלט|הפועל ב""ש/דימונה אי.סי.אל.",ב"ש/דימונה,#CC0000,#FFFFFF
הפועל חיפה,"הפועל חיפה|הפועל נווה שאנן חיפה|הפועל נווה שאנן חיפה שובל",הפועל חיפה,#CC0000,#000000
הפועל חולון,"הפועל חולון|הפועל חולון יורם|הפועל סיטי מרקט חולון",הפועל חולון,#800080,#FFFFFF
הפועל גליל עליון,"הפועל גליל עליון|הפועל גליל גלבוע|הפועל גליל תבור|הפועל גליל עליון צפת",גליל עליון,#990000,#FFFFFF
הפועל מגדל העמק/יזרעאל,"הפועל מגדל העמק|הפועל מגדל העמק/יזרעאל|הפועל מגדל העמק-יזרעאל|הפועל מגדל העמק יזרע",הפועל מגדל העמק/יזרעאל,#0000CC,#FFFFFF
הפועל נהריה,"הפועל נהריה|עירוני נהריה",נהריה,#6600CC,#FFFFFF
עירוני נס ציונה,"עירוני נס ציונה|הפועל נס ציונה|הפועל נס ציונה חי מו|הפועל נס ציונה רוטנש|הפועל נס ציונה ליונס|הפועל נס ציונה לביאו|הפועל נס ציונה טל|הפועל נס ציונה תות|עירוני מ.רוטשטיין נס ציונה",נס ציונה,#FF5500,#FFFFFF
הפועל ראשון לציון,"הפועל ראשון לציון|ראשל""צ כלנית|ראשל""צ ורד|ראשל""צ יאיר|ראשל""צ איציק",ראשל"צ,#FF3300,#FFFFFF
הפועל ירושלים,"הפועל ירושלים עזרא",הפועל ירושלים,#AA0000,#FFFFFF
הפועל לב ירושלים,"הפועל לב ירושלים פארק בית הכרם|הפועל לב ירושלים צעירות|הפועל לב ירושלים",לב ירושלים,#AA0000,#FFFFFF
