Team_ID,League_ID,Team_Name,short_name,bg_color,text_color,name_variations
168,1,אליצור יבנה,אליצור יבנה,#FFFF00,#003399,אליצור דוד יבנה|אליצור יבנה|אליצור יבנה אופק|אליצור יבנה דבורה|אליצור יבנה דנן|אליצור יבנה שמשון|אליצור יבנה שרה
26,1,הפועל נהריה,הפועל נהריה,#6600CC,#FFFFFF,הפועל נהריה|עירוני נהריה
4153,1,הפועל חיפה,הפועל חיפה,#CC0000,#000000,הפועל חיפה|הפועל נווה שאנן חיפה|הפועל נווה שאנן חיפה שובל
7261,1,מכבי אשדוד,מכבי אשדוד,#FFFF00,#003399,"בית""ר אשדוד|מכבי אשדוד|מכבי אשדוד יאשה|מכבי אשדוד נשים|מכבי אשדוד/גדרות"
2267,1,הפועל מגדל העמק/יזרעאל,הפועל מגדל העמק/יזרעאל,#0000CC,#FFFFFF,הפועל מגדל העמק|הפועל מגדל העמק יזרע|הפועל מגדל העמק-יזרעאל|הפועל מגדל העמק/יזרעאל
12645,1,מ.כ עוטף דרום,מ.כ עוטף דרום,#FFFFFF,#003399,מ.כ עוטף דרום|מועדון כדורסל עוטף ד
75,1,מכבי רחובות,מכבי רחובות,#0000CC,#FFFFFF,מכבי רחובות|מכבי רחובות עומר
69,1,מכבי חיפה,מכבי חיפה,#009900,#FFFFFF,מכבי חיפה|מכבי חיפה אסי|מכבי חיפה גיא|מכבי חיפה גיא נתן|מכבי חיפה הפניקס|מכבי חיפה עתודה
3043,1,מכבי קרית גת,מכבי קרית גת,#0066CC,#FFFFFF,א.ס. אשקלון-קרית גת|א.ס. אשקלון/קרית גת|מכבי קרית גת
920,1,א.ס. עירוני אשקלון,א.ס. עירוני אשקלון,#FF8000,#FFFFFF,א.ס. עירוני אשקלון|אליצור מכבי ע.אשקלון
585,1,"א.ס רמה""ש","א.ס רמה""ש ירק השדה",#000000,#FFFFFF,"א.ס רמה""ש ירק השדה|א.ס רמה&quot;ש ירק השדה"
42,1,מכבי פתח תקווה,מכבי פתח תקווה,#000066,#FFFFFF,מכבי פתח תקוה נחמן|מכבי פתח תקווה|מכבי פתח תקווה מנדל
3745,1,מכבי מעלה אדומים,מכבי מעלה אדומים,#3399FF,#000066,מכבי מעלה אדומים
1278,1,הפועל אילת,הפועל אילת,#0066CC,#FFFFFF,הפועל אילת|הפועל אילת זהר
4818,1,מ.ס צפת,מ.ס צפת,#0033CC,#FFFFFF,הפועל צפת גליל|הפועל צפת/גליל דניאל|מ.ס צפת
4083,1,אליצור שומרון,אליצור שומרון,#003399,#FFFFFF,אליצור שומרון|אליצור שומרון חלפ|אליצור שומרון להב
1273,8,בני יהודה,בני יהודה,#FF9900,#000000,בני יהודה|בני יהודה ציונטרוניק
1152,8,מכבי רעננה,מכבי רעננה,#0066FF,#FFFFFF,מכבי רעננה|מכבי רעננה עירוני
1497,8,מכבי הוד השרון,מכבי הוד השרון,#0099FF,#FFFFFF,מכבי הוד השרון|מכבי הוד השרון לילך
2889,8,אליצור יבנה,אליצור יבנה,#FFFF00,#003399,אליצור דוד יבנה|אליצור יבנה|אליצור יבנה אופק|אליצור יבנה דבורה|אליצור יבנה דנן|אליצור יבנה שמשון|אליצור יבנה שרה
6108,8,אליצור נתניה,אליצור נתניה,#FFFF00,#000000,אליצור נתניה|אליצור נתניה עירוני|אליצור עירוני נתניה
2534,8,עירוני נס ציונה,עירוני נס ציונה,#FF5500,#FFFFFF,הפועל נס ציונה|הפועל נס ציונה חי מו|הפועל נס ציונה טל|הפועל נס ציונה לביאו|הפועל נס ציונה ליונס|הפועל נס ציונה רוטנש|הפועל נס ציונה תות|עירוני מ.רוטשטיין נס ציונה|עירוני נס ציונה
