league_id,gameid,League,Code,Week Day,Date,Round,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
4,4_749135,נוער על צפון,749135,שבת,18/10/2025,1,19:30,בני הרצליה,803,הפועל כפר סבא,1500,"אולם היובל, רח' רש""י 24, הרצליה",,
4,4_749132,נוער על צפון,749132,יום שני,20/10/2025,1,20:00,הפועל חיפה,486,"א.ס רמה""ש ירק השדה",1762,"היכל הספורט רוממה, חיפה",,
4,4_749130,נוער על צפון,749130,יום שני,20/10/2025,1,20:30,הפועל עמק יזרעאל,483,אליצור נתניה,490,"ביה""ס יערת העמק, מגדל העמק",,
4,4_749133,נוער על צפון,749133,יום שני,20/10/2025,1,20:30,הפועל גליל עליון,515,הפועל חוף הכרמל,10377,"היכל הספורט, כפר בלום",,
4,4_749134,נוער על צפון,749134,יום שני,20/10/2025,1,20:30,מכבי חדרה,552,הפועל עמק חפר,4265,"היכל אנרבוקס, רח' משמר הגבול 5, חדרה",,
4,4_749131,נוער על צפון,749131,יום שלישי,21/10/2025,1,18:30,הפועל גלבוע מעיינות,942,מכבי חיפה,487,קיבוץ עין חרוד,,
4,4_749140,נוער על צפון,749140,יום שני,27/10/2025,2,19:00,מכבי חיפה,487,הפועל חיפה,486,"רח' ביכורים 19, חיפה (עליון)",,
4,4_749139,נוער על צפון,749139,יום שני,27/10/2025,2,19:00,"א.ס רמה""ש ירק השדה",1762,הפועל גליל עליון,515,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
4,4_749138,נוער על צפון,749138,יום שני,27/10/2025,2,19:00,הפועל חוף הכרמל,10377,מכבי חדרה,552,"מרכז קהילתי מיר""ב, חוף הכרמל",,
4,4_749141,נוער על צפון,749141,יום שני,27/10/2025,2,20:00,אליצור נתניה,490,הפועל כפר סבא,1500,"ביה""ס ישורון, רח' שמואל הנציב פינת ברנר, נתניה",,
4,4_749137,נוער על צפון,749137,יום שני,27/10/2025,2,20:00,הפועל עמק חפר,4265,בני הרצליה,803,מועצה אזורית עמק חפר,,
4,4_749136,נוער על צפון,749136,יום שני,27/10/2025,2,20:30,הפועל עמק יזרעאל,483,הפועל גלבוע מעיינות,942,אולם קיבוץ גבת,,
4,4_749146,נוער על צפון,749146,יום שני,10/11/2025,3,18:00,בני הרצליה,803,הפועל חוף הכרמל,10377,"אולם היובל, רח' רש""י 24, הרצליה",,
4,4_749147,נוער על צפון,749147,יום שני,10/11/2025,3,19:00,הפועל כפר סבא,1500,הפועל עמק חפר,4265,"היכל שלום, רח' אז""ר 51, כפר סבא",,
4,4_749143,נוער על צפון,749143,יום שני,10/11/2025,3,20:00,הפועל חיפה,486,הפועל עמק יזרעאל,483,"היכל הספורט רוממה, חיפה",,
4,4_749144,נוער על צפון,749144,יום שני,10/11/2025,3,20:30,הפועל גליל עליון,515,מכבי חיפה,487,"היכל הספורט, כפר בלום",,
4,4_749145,נוער על צפון,749145,יום שני,10/11/2025,3,20:30,מכבי חדרה,552,"א.ס רמה""ש ירק השדה",1762,"היכל אנרבוקס, רח' משמר הגבול 5, חדרה",,
4,4_749142,נוער על צפון,749142,יום שני,10/11/2025,3,20:30,הפועל גלבוע מעיינות,942,אליצור נתניה,490,קיבוץ עין חרוד,,
4,4_749152,נוער על צפון,749152,יום שני,24/11/2025,4,19:00,מכבי חיפה,487,מכבי חדרה,552,"רח' ביכורים 19, חיפה (עליון)",,
4,4_749153,נוער על צפון,749153,יום שני,24/11/2025,4,19:00,אליצור נתניה,490,הפועל עמק חפר,4265,"ביה""ס ישורון, רח' שמואל הנציב פינת ברנר, נתניה",,
4,4_749151,נוער על צפון,749151,יום שני,24/11/2025,4,19:00,"א.ס רמה""ש ירק השדה",1762,בני הרצליה,803,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
4,4_749150,נוער על צפון,749150,יום שני,24/11/2025,4,19:00,הפועל חוף הכרמל,10377,הפועל כפר סבא,1500,"מרכז קהילתי מיר""ב, חוף הכרמל",,
4,4_749148,נוער על צפון,749148,יום שני,24/11/2025,4,20:30,הפועל עמק יזרעאל,483,הפועל גליל עליון,515,אולם קיבוץ גבת,,
4,4_749149,נוער על צפון,749149,יום שני,24/11/2025,4,20:30,הפועל גלבוע מעיינות,942,הפועל חיפה,486,קיבוץ עין חרוד,,
4,4_749157,נוער על צפון,749157,יום שני,01/12/2025,5,18:00,בני הרצליה,803,מכבי חיפה,487,"אולם היובל, רח' רש""י 24, הרצליה",,
4,4_749158,נוער על צפון,749158,יום שני,01/12/2025,5,19:00,הפועל כפר סבא,1500,"א.ס רמה""ש ירק השדה",1762,"היכל שלום, רח' אז""ר 51, כפר סבא",,
4,4_749154,נוער על צפון,749154,יום שני,01/12/2025,5,20:00,הפועל חיפה,486,אליצור נתניה,490,"היכל הספורט רוממה, חיפה",,
4,4_749159,נוער על צפון,749159,יום שני,01/12/2025,5,20:00,הפועל עמק חפר,4265,הפועל חוף הכרמל,10377,מועצה אזורית עמק חפר,,
4,4_749155,נוער על צפון,749155,יום שני,01/12/2025,5,20:30,הפועל גליל עליון,515,הפועל גלבוע מעיינות,942,"היכל הספורט, כפר בלום",,
4,4_749156,נוער על צפון,749156,יום שני,01/12/2025,5,20:30,מכבי חדרה,552,הפועל עמק יזרעאל,483,"היכל אנרבוקס, רח' משמר הגבול 5, חדרה",,
4,4_749165,נוער על צפון,749165,יום שני,08/12/2025,6,19:00,אליצור נתניה,490,הפועל חוף הכרמל,10377,"ביה""ס ישורון, רח' שמואל הנציב פינת ברנר, נתניה",,
4,4_749164,נוער על צפון,749164,יום שני,08/12/2025,6,19:00,מכבי חיפה,487,הפועל כפר סבא,1500,"רח' ביכורים 19, חיפה (עליון)",,
4,4_749163,נוער על צפון,749163,יום שני,08/12/2025,6,19:00,"א.ס רמה""ש ירק השדה",1762,הפועל עמק חפר,4265,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
4,4_749162,נוער על צפון,749162,יום שני,08/12/2025,6,20:00,הפועל חיפה,486,הפועל גליל עליון,515,"היכל הספורט רוממה, חיפה",,
4,4_749160,נוער על צפון,749160,יום שני,08/12/2025,6,20:30,הפועל עמק יזרעאל,483,בני הרצליה,803,אולם קיבוץ גבת,,
4,4_749161,נוער על צפון,749161,יום שני,08/12/2025,6,20:30,הפועל גלבוע מעיינות,942,מכבי חדרה,552,קיבוץ עין חרוד,,
4,4_749168,נוער על צפון,749168,יום שני,15/12/2025,7,18:00,בני הרצליה,803,הפועל גלבוע מעיינות,942,"אולם היובל, רח' רש""י 24, הרצליה",,
4,4_749169,נוער על צפון,749169,יום שני,15/12/2025,7,19:00,הפועל כפר סבא,1500,הפועל עמק יזרעאל,483,"היכל שלום, רח' אז""ר 51, כפר סבא",,
4,4_749171,נוער על צפון,749171,יום שני,15/12/2025,7,19:00,הפועל חוף הכרמל,10377,"א.ס רמה""ש ירק השדה",1762,"מרכז קהילתי מיר""ב, חוף הכרמל",,
