league_id,gameid,League,Code,Week Day,Date,Round,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
5,5_749199,נוער על דרום,749199,שבת,18/10/2025,1,20:30,מכבי רחובות,213,מכבי תל אביב,4275,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
5,5_749201,נוער על דרום,749201,יום שני,20/10/2025,1,16:30,עירוני נס ציונה,2841,מכבי ראשון לציון,501,"רח' הזמיר 33, נס ציונה",,
5,5_749196,נוער על דרום,749196,יום שני,20/10/2025,1,19:00,אליצור יבנה,71,עירוני קרית אונו,1071,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
5,5_749198,נוער על דרום,749198,יום שני,20/10/2025,1,19:00,הפועל חולון,493,מכבי פתח תקווה,558,"רח' אחד במאי 38, חולון",,
5,5_749200,נוער על דרום,749200,יום שני,20/10/2025,1,19:00,מכבי רמת גן,496,הפועל ירושלים,502,"אולם זיסמן, דרך הטייסים, רמת גן",,
5,5_749197,נוער על דרום,749197,יום שני,20/10/2025,1,20:30,הפועל תל אביב,2897,מכבי אשדוד,3589,"תיכונט, רח' שושנה פרסיץ 3, תל אביב",,
5,5_749203,נוער על דרום,749203,יום שני,27/10/2025,2,18:30,הפועל ירושלים,502,עירוני נס ציונה,2841,"היכל מאוחדת, רח' גל, פסגת זאב, ירושלים",,
5,5_749202,נוער על דרום,749202,יום שני,27/10/2025,2,19:00,אליצור יבנה,71,הפועל תל אביב,2897,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
5,5_749205,נוער על דרום,749205,יום שני,27/10/2025,2,19:00,מכבי פתח תקווה,558,מכבי רחובות,213,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
5,5_749206,נוער על דרום,749206,יום שני,27/10/2025,2,19:00,מכבי אשדוד,3589,הפועל חולון,493,"מקיף ו', רח' הרי גולן 6, אשדוד",,
5,5_749204,נוער על דרום,749204,יום שני,27/10/2025,2,19:00,מכבי תל אביב,4275,מכבי רמת גן,496,"הדר יוסף (ישן), רח' שטרית 6, תל אביב",,
5,5_749207,נוער על דרום,749207,יום שני,27/10/2025,2,20:30,עירוני קרית אונו,1071,מכבי ראשון לציון,501,"אולם עלומים, רח' הכפר 2, קריית אונו",,
5,5_749208,נוער על דרום,749208,שבת,08/11/2025,3,20:00,הפועל תל אביב,2897,עירוני קרית אונו,1071,"תיכונט, רח' שושנה פרסיץ 3, תל אביב",,
5,5_749213,נוער על דרום,749213,יום שני,10/11/2025,3,18:00,מכבי ראשון לציון,501,הפועל ירושלים,502,"רח' גולדה מאיר 21, ראשון לציון",,
5,5_749209,נוער על דרום,749209,יום שני,10/11/2025,3,19:00,הפועל חולון,493,אליצור יבנה,71,"רח' אחד במאי 38, חולון",,
5,5_749211,נוער על דרום,749211,יום שני,10/11/2025,3,19:00,מכבי רמת גן,496,מכבי פתח תקווה,558,"אולם זיסמן, דרך הטייסים, רמת גן",,
5,5_749212,נוער על דרום,749212,יום שני,10/11/2025,3,19:00,עירוני נס ציונה,2841,מכבי תל אביב,4275,"רח' הזמיר 33, נס ציונה",,
5,5_749210,נוער על דרום,749210,יום שני,10/11/2025,3,20:00,מכבי רחובות,213,מכבי אשדוד,3589,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
5,5_749214,נוער על דרום,749214,יום שני,24/11/2025,4,19:00,אליצור יבנה,71,מכבי רחובות,213,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
5,5_749217,נוער על דרום,749217,יום שני,24/11/2025,4,19:00,מכבי פתח תקווה,558,עירוני נס ציונה,2841,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
5,5_749218,נוער על דרום,749218,יום שני,24/11/2025,4,19:00,מכבי אשדוד,3589,מכבי רמת גן,496,"מקיף ו', רח' הרי גולן 6, אשדוד",,
5,5_749216,נוער על דרום,749216,יום שני,24/11/2025,4,19:00,מכבי תל אביב,4275,מכבי ראשון לציון,501,"הדר יוסף (ישן), רח' שטרית 6, תל אביב",,
5,5_749219,נוער על דרום,749219,יום שני,24/11/2025,4,20:30,עירוני קרית אונו,1071,הפועל ירושלים,502,"אולם עלומים, רח' הכפר 2, קריית אונו",,
5,5_749215,נוער על דרום,749215,יום שני,24/11/2025,4,20:30,הפועל תל אביב,2897,הפועל חולון,493,"תיכונט, רח' שושנה פרסיץ 3, תל אביב",,
5,5_749221,נוער על דרום,749221,שבת,29/11/2025,5,20:30,מכבי רחובות,213,הפועל תל אביב,2897,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
5,5_749224,נוער על דרום,749224,יום שני,01/12/2025,5,18:00,מכבי ראשון לציון,501,מכבי פתח תקווה,558,"רח' גולדה מאיר 21, ראשון לציון",,
5,5_749225,נוער על דרום,749225,יום שני,01/12/2025,5,18:30,הפועל ירושלים,502,מכבי תל אביב,4275,"היכל מאוחדת, רח' גל, פסגת זאב, ירושלים",,
5,5_749220,נוער על דרום,749220,יום שני,01/12/2025,5,19:00,הפועל חולון,493,עירוני קרית אונו,1071,"רח' אחד במאי 38, חולון",,
5,5_749222,נוער על דרום,749222,יום שני,01/12/2025,5,19:00,מכבי רמת גן,496,אליצור יבנה,71,"אולם זיסמן, דרך הטייסים, רמת גן",,
5,5_749223,נוער על דרום,749223,יום שני,01/12/2025,5,19:00,עירוני נס ציונה,2841,מכבי אשדוד,3589,"רח' הזמיר 33, נס ציונה",,
5,5_749226,נוער על דרום,749226,יום שני,08/12/2025,6,19:00,אליצור יבנה,71,עירוני נס ציונה,2841,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
5,5_749228,נוער על דרום,749228,יום שני,08/12/2025,6,19:00,הפועל חולון,493,מכבי רחובות,213,"רח' אחד במאי 38, חולון",,
5,5_749229,נוער על דרום,749229,יום שני,08/12/2025,6,19:00,מכבי פתח תקווה,558,הפועל ירושלים,502,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
5,5_749230,נוער על דרום,749230,יום שני,08/12/2025,6,19:00,מכבי אשדוד,3589,מכבי ראשון לציון,501,"מקיף ו', רח' הרי גולן 6, אשדוד",,
5,5_749227,נוער על דרום,749227,יום שני,08/12/2025,6,20:30,הפועל תל אביב,2897,מכבי רמת גן,496,"תיכונט, רח' שושנה פרסיץ 3, תל אביב",,
5,5_749231,נוער על דרום,749231,יום שני,08/12/2025,6,20:30,עירוני קרית אונו,1071,מכבי תל אביב,4275,"אולם עלומים, רח' הכפר 2, קריית אונו",,
5,5_749235,נוער על דרום,749235,יום שני,15/12/2025,7,18:00,מכבי ראשון לציון,501,אליצור יבנה,71,"רח' גולדה מאיר 21, ראשון לציון",,
5,5_749236,נוער על דרום,749236,יום שני,15/12/2025,7,18:30,הפועל ירושלים,502,מכבי אשדוד,3589,"היכל מאוחדת, רח' גל, פסגת זאב, ירושלים",,
5,5_749233,נוער על דרום,749233,יום שני,15/12/2025,7,19:00,מכבי רמת גן,496,הפועל חולון,493,"אולם זיסמן, דרך הטייסים, רמת גן",,
5,5_749234,נוער על דרום,749234,יום שני,15/12/2025,7,19:00,עירוני נס ציונה,2841,הפועל תל אביב,2897,"רח' הזמיר 33, נס ציונה",,
5,5_749237,נוער על דרום,749237,יום שני,15/12/2025,7,19:00,מכבי תל אביב,4275,מכבי פתח תקווה,558,"הדר יוסף (ישן), רח' שטרית 6, תל אביב",,
5,5_749232,נוער על דרום,749232,יום שני,15/12/2025,7,20:00,מכבי רחובות,213,עירוני קרית אונו,1071,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
5,5_749238,נוער על דרום,749238,יום שני,22/12/2025,8,19:00,אליצור יבנה,71,הפועל ירושלים,502,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",,
5,5_749240,נוער על דרום,749240,יום שני,22/12/2025,8,19:00,הפועל חולון,493,עירוני נס ציונה,2841,"רח' אחד במאי 38, חולון",,
5,5_749242,נוער על דרום,749242,יום שני,22/12/2025,8,19:00,מכבי אשדוד,3589,מכבי תל אביב,4275,"מקיף ו', רח' הרי גולן 6, אשדוד",,
5,5_749241,נוער על דרום,749241,יום שני,22/12/2025,8,20:00,מכבי רחובות,213,מכבי רמת גן,496,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",,
5,5_749243,נוער על דרום,749243,יום שני,22/12/2025,8,20:30,עירוני קרית אונו,1071,מכבי פתח תקווה,558,"אולם עלומים, רח' הכפר 2, קריית אונו",,
5,5_749239,נוער על דרום,749239,יום שני,22/12/2025,8,20:30,הפועל תל אביב,2897,מכבי ראשון לציון,501,"תיכונט, רח' שושנה פרסיץ 3, תל אביב",,
5,5_749246,נוער על דרום,749246,יום שני,29/12/2025,9,18:00,מכבי ראשון לציון,501,הפועל חולון,493,"רח' גולדה מאיר 21, ראשון לציון",,
5,5_749247,נוער על דרום,749247,יום שני,29/12/2025,9,18:30,הפועל ירושלים,502,הפועל תל אביב,2897,"היכל מאוחדת, רח' גל, פסגת זאב, ירושלים",,
5,5_749244,נוער על דרום,749244,יום שני,29/12/2025,9,19:00,מכבי רמת גן,496,עירוני קרית אונו,1071,"אולם זיסמן, דרך הטייסים, רמת גן",,
5,5_749249,נוער על דרום,749249,יום שני,29/12/2025,9,19:00,מכבי פתח תקווה,558,מכבי אשדוד,3589,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",,
5,5_749245,נוער על דרום,749245,יום שני,29/12/2025,9,19:00,עירוני נס ציונה,2841,מכבי רחובות,213,"רח' הזמיר 33, נס ציונה",,
5,5_749248,נוער על דרום,749248,יום שני,29/12/2025,9,19:00,מכבי תל אביב,4275,אליצור יבנה,71,"הדר יוסף (ישן), רח' שטרית 6, תל אביב",,
