league_id,gameid,League,Code,Week Day,Date,Round,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
9,9_755465,נערות א על,755465,יום ראשון,26/10/2025,1,18:30,הפועל כפר סבא,4015,הפועל עמק יזרעאל,336,"אולם רמז, רח' אלי הורוביץ 24, כפר סבא",,
9,9_755470,נערות א על,755470,יום ראשון,26/10/2025,1,19:00,עירוני נס ציונה,10618,מכבי רעננה,952,"רח' הזמיר 33, נס ציונה",,
9,9_755469,נערות א על,755469,יום ראשון,26/10/2025,1,19:30,אליצור נתניה,4633,מכבי הוד השרון,7465,"ביה""ס אהרון דוידי, רח' אגם כנרת 6, נתניה",,
9,9_755467,נערות א על,755467,יום ראשון,26/10/2025,1,20:00,אליצור חולון,1528,עצמה מודיעין,7933,"אולם שמיר, רח' אמיר דרורי 3, חולון",,
9,9_755468,נערות א על,755468,יום ראשון,26/10/2025,1,20:00,הפועל לב ירושלים,7733,הפועל ראשון לציון,4625,"חוות הנוער הציוני, רח' הורקניה 26, ירושלים",,
9,9_755471,נערות א על,755471,יום ראשון,26/10/2025,1,20:30,מכבי חיפה,2904,הפועל גלבוע מעיינות,2060,"רח' ביכורים 19, חיפה (עליון)",,
9,9_755466,נערות א על,755466,יום ראשון,26/10/2025,1,20:30,מכבי תל אביב,11609,"א.ס רמה""ש ירק השדה",853,"מרכז ספורט עירוני הדר יוסף, רח' שטרית 2, תל אביב",,
9,9_755472,נערות א על,755472,יום ראשון,02/11/2025,2,18:30,הפועל כפר סבא,4015,מכבי תל אביב,11609,"אולם רמז, רח' אלי הורוביץ 24, כפר סבא",,
9,9_755477,נערות א על,755477,יום ראשון,02/11/2025,2,19:00,"א.ס רמה""ש ירק השדה",853,אליצור חולון,1528,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
9,9_755475,נערות א על,755475,יום ראשון,02/11/2025,2,19:00,הפועל ראשון לציון,4625,אליצור נתניה,4633,"גמנסיה ריאלית, רח' עולי הגרדום 31, ראשון לציון",,
9,9_755473,נערות א על,755473,יום ראשון,02/11/2025,2,19:30,מכבי רעננה,952,מכבי חיפה,2904,"חט""ב השרון, רח' הס, רעננה",,
9,9_755478,נערות א על,755478,יום ראשון,02/11/2025,2,20:00,הפועל עמק יזרעאל,336,הפועל גלבוע מעיינות,2060,אולם קיבוץ גבת,,
9,9_755474,נערות א על,755474,יום ראשון,02/11/2025,2,20:30,מכבי הוד השרון,7465,עירוני נס ציונה,10618,"אולם עתידים, רח' יאנוש קורצ'אק, הוד השרון",,
9,9_755476,נערות א על,755476,יום ראשון,02/11/2025,2,20:30,עצמה מודיעין,7933,הפועל לב ירושלים,7733,"תיכון עירוני א', רח' דם המכבים, מודיעין",,
9,9_755484,נערות א על,755484,יום ראשון,09/11/2025,3,19:00,מכבי חיפה,2904,מכבי הוד השרון,7465,"רח' ביכורים 19, חיפה (תחתון)",,
9,9_755483,נערות א על,755483,יום ראשון,09/11/2025,3,19:00,עירוני נס ציונה,10618,הפועל ראשון לציון,4625,"רח' הזמיר 33, נס ציונה",,
9,9_755482,נערות א על,755482,יום ראשון,09/11/2025,3,19:30,אליצור נתניה,4633,עצמה מודיעין,7933,"ביה""ס אהרון דוידי, רח' אגם כנרת 6, נתניה",,
9,9_755480,נערות א על,755480,יום ראשון,09/11/2025,3,20:00,אליצור חולון,1528,הפועל כפר סבא,4015,"אולם שמיר, רח' אמיר דרורי 3, חולון",,
9,9_755481,נערות א על,755481,יום ראשון,09/11/2025,3,20:00,הפועל לב ירושלים,7733,"א.ס רמה""ש ירק השדה",853,"חוות הנוער הציוני, רח' הורקניה 26, ירושלים",,
9,9_755485,נערות א על,755485,יום ראשון,09/11/2025,3,20:30,הפועל גלבוע מעיינות,2060,מכבי רעננה,952,קיבוץ עין חרוד,,
9,9_755479,נערות א על,755479,יום ראשון,09/11/2025,3,20:30,מכבי תל אביב,11609,הפועל עמק יזרעאל,336,"מרכז ספורט עירוני הדר יוסף, רח' שטרית 2, תל אביב",,
9,9_755486,נערות א על,755486,יום ראשון,16/11/2025,4,18:30,הפועל כפר סבא,4015,הפועל לב ירושלים,7733,"אולם רמז, רח' אלי הורוביץ 24, כפר סבא",,
9,9_755491,נערות א על,755491,יום ראשון,16/11/2025,4,19:00,"א.ס רמה""ש ירק השדה",853,אליצור נתניה,4633,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
9,9_755489,נערות א על,755489,יום ראשון,16/11/2025,4,19:00,הפועל ראשון לציון,4625,מכבי חיפה,2904,"גמנסיה ריאלית, רח' עולי הגרדום 31, ראשון לציון",,
9,9_755492,נערות א על,755492,יום ראשון,16/11/2025,4,20:00,הפועל עמק יזרעאל,336,מכבי רעננה,952,אולם קיבוץ גבת,,
9,9_755488,נערות א על,755488,יום ראשון,16/11/2025,4,20:30,מכבי הוד השרון,7465,הפועל גלבוע מעיינות,2060,"אולם עתידים, רח' יאנוש קורצ'אק, הוד השרון",,
9,9_755490,נערות א על,755490,יום ראשון,16/11/2025,4,20:30,עצמה מודיעין,7933,עירוני נס ציונה,10618,"תיכון עירוני א', רח' דם המכבים, מודיעין",,
9,9_755487,נערות א על,755487,יום ראשון,16/11/2025,4,20:30,מכבי תל אביב,11609,אליצור חולון,1528,"מרכז ספורט עירוני הדר יוסף, רח' שטרית 2, תל אביב",,
9,9_755497,נערות א על,755497,יום ראשון,23/11/2025,5,19:00,מכבי חיפה,2904,עצמה מודיעין,7933,"רח' ביכורים 19, חיפה (תחתון)",,
9,9_755496,נערות א על,755496,יום ראשון,23/11/2025,5,19:00,עירוני נס ציונה,10618,"א.ס רמה""ש ירק השדה",853,"רח' הזמיר 33, נס ציונה",,
9,9_755499,נערות א על,755499,יום ראשון,23/11/2025,5,19:30,מכבי רעננה,952,מכבי הוד השרון,7465,"חט""ב השרון, רח' הס, רעננה",,
9,9_755495,נערות א על,755495,יום ראשון,23/11/2025,5,19:30,אליצור נתניה,4633,הפועל כפר סבא,4015,"ביה""ס אהרון דוידי, רח' אגם כנרת 6, נתניה",,
9,9_755493,נערות א על,755493,יום ראשון,23/11/2025,5,20:00,אליצור חולון,1528,הפועל עמק יזרעאל,336,"אולם שמיר, רח' אמיר דרורי 3, חולון",,
9,9_755494,נערות א על,755494,יום ראשון,23/11/2025,5,20:00,הפועל לב ירושלים,7733,מכבי תל אביב,11609,"חוות הנוער הציוני, רח' הורקניה 26, ירושלים",,
9,9_755498,נערות א על,755498,יום ראשון,23/11/2025,5,20:30,הפועל גלבוע מעיינות,2060,הפועל ראשון לציון,4625,קיבוץ עין חרוד,,
9,9_755500,נערות א על,755500,יום ראשון,30/11/2025,6,18:30,הפועל כפר סבא,4015,עירוני נס ציונה,10618,"אולם רמז, רח' אלי הורוביץ 24, כפר סבא",,
