team,team_id,league_id,games_played,opp_pts,opp_pts_rank,opp_2ptm,opp_2ptm_rank,opp_2pta,opp_2pta_rank,opp_3ptm,opp_3ptm_rank,opp_3pta,opp_3pta_rank,opp_fgm,opp_fgm_rank,opp_fga,opp_fga_rank,opp_ftm,opp_ftm_rank,opp_fta,opp_fta_rank,opp_def,opp_def_rank,opp_off,opp_off_rank,opp_reb,opp_reb_rank,opp_pf,opp_pf_rank,opp_stl,opp_stl_rank,opp_to,opp_to_rank,opp_ast,opp_ast_rank,opp_blk,opp_blk_rank,opp_blka,opp_blka_rank,opp_rate,opp_rate_rank,opp_fast_break_pts,opp_fast_break_pts_rank,opp_points_in_paint,opp_points_in_paint_rank,opp_2pt_pct,opp_2pt_pct_rank,opp_3pt_pct,opp_3pt_pct_rank,opp_fg_pct,opp_fg_pct_rank,opp_ft_pct,opp_ft_pct_rank,opp_possessions,opp_possessions_rank
אליצור חולון,907,11,2,72.0,7,21.0,9,43.0,6,5.5,1,21.5,3,26.5,9,64.5,6,13.5,7,16.5,7,30.0,6,8.5,2,38.5,4,16.5,5,11.0,8,14.0,9,17.5,4,2.0,3,1.0,3,82.0,8,15.0,7,34.0,9,48.8,8,25.6,2,41.1,6,81.8,8,77.3,6
אליצור נוה דוד רמלה,2100,11,1,70.0,5,17.0,5,37.0,3,8.0,7,22.0,4,25.0,4,59.0,1,12.0,6,12.0,3,27.0,5,12.0,6,39.0,5,17.0,6,6.0,1,20.0,1,19.0,7,2.0,3,2.0,4,81.0,7,12.0,5,28.0,6,45.9,5,36.4,9,42.4,8,100.0,10,72.3,1
בנות פתח תקווה,181,11,1,84.0,10,28.0,10,48.0,10,7.0,4,18.0,1,35.0,10,66.0,8,7.0,2,11.0,2,32.0,9,12.0,6,44.0,8,15.0,3,10.0,7,17.0,4,23.0,10,3.0,7,4.0,8,109.0,10,22.0,10,48.0,10,58.3,10,38.9,10,53.0,10,63.6,4,75.8,3
הפועל באר שבע/דימונה,10197,11,1,81.0,9,14.0,1,34.0,1,9.0,8,26.0,7,23.0,2,60.0,2,26.0,10,33.0,10,26.0,3,8.0,1,34.0,1,15.0,3,14.0,10,14.0,9,20.0,8,5.0,9,3.0,6,105.0,9,15.0,7,18.0,1,41.2,4,34.6,8,38.3,5,78.8,7,80.5,9
הפועל לב ירושלים פארק בית הכרם,7735,11,2,70.0,5,19.5,8,37.0,3,6.5,3,23.0,6,26.0,7,60.0,2,11.5,5,16.0,5,26.5,4,9.0,3,35.5,3,18.0,7,8.5,3,16.0,6,14.0,2,3.5,8,0.5,1,78.5,5,9.0,2,25.0,4,52.7,9,28.3,4,43.3,9,71.9,6,74.0,2
הפועל ראשון לציון,520,11,2,72.5,8,17.5,6,43.5,7,7.5,6,22.0,4,25.0,4,65.5,7,15.0,8,18.0,8,35.0,10,12.5,8,47.5,9,20.5,9,8.5,3,16.5,5,18.5,6,2.0,3,4.0,8,79.5,6,10.0,4,31.0,8,40.2,3,34.1,6,38.2,4,83.3,9,77.4,7
מכבי אשדוד נשים,194,11,2,69.0,3,16.5,4,35.0,2,9.0,8,26.5,8,25.5,6,61.5,4,9.0,3,14.5,4,31.0,7,11.5,5,42.5,7,23.0,10,7.5,2,19.5,2,16.0,3,2.0,3,5.5,10,62.5,2,15.5,9,21.0,2,47.1,6,34.0,5,41.5,7,62.1,2,75.9,4
מכבי חיפה הפניקס,864,11,2,69.5,4,18.5,7,39.0,5,5.5,1,27.5,9,24.0,3,66.5,9,16.0,9,23.5,9,23.5,1,17.5,9,41.0,6,19.5,8,12.0,9,17.5,3,13.0,1,1.0,2,0.5,1,70.5,3,12.5,6,29.0,7,47.4,7,20.0,1,36.1,3,68.1,5,76.8,5
מכבי כרמיאל,1219,11,1,67.0,2,16.0,3,47.0,9,10.0,10,37.0,10,26.0,7,84.0,10,5.0,1,9.0,1,31.0,7,21.0,10,52.0,10,10.0,1,9.0,6,16.0,6,20.0,8,0.0,1,2.0,4,73.0,4,9.0,2,26.0,5,34.0,1,27.0,3,31.0,1,55.6,1,83.0,10
מכבי עירוני רמת גן,210,11,2,61.0,1,15.0,2,43.5,7,7.0,4,20.5,2,22.0,1,64.0,5,10.0,4,16.0,5,25.5,2,9.0,3,34.5,2,14.5,2,8.5,3,16.0,6,17.5,4,5.0,9,3.5,7,61.0,1,8.0,1,22.0,3,34.5,2,34.1,6,34.4,2,62.5,3,78.0,8
