game_id,league_id,player_id,player_name,team,team_id,game_date,number,starter,min,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate
11_741332,11,aba20ee3e04c,שאיין שריל סלרס,מכבי חיפה הפניקס,,29/09/2025,0,1,35,28,7,10,70.0,1,5,20.0,8,15,53.3,11,11,100.0,6,0,6,4,12,2,6,7,1,0,39
11_741332,11,72cd2e90146d,טיאה פרסלי,מכבי חיפה הפניקס,,29/09/2025,9,1,32,3,0,0,0.0,1,2,50.0,1,2,50.0,0,0,0.0,1,0,1,4,0,2,3,1,0,0,-1
11_741332,11,8efd7e270315,נור כיוף,מכבי חיפה הפניקס,,29/09/2025,8,1,30,8,1,5,20.0,1,4,25.0,2,9,22.2,3,4,75.0,2,0,2,2,4,2,4,2,0,0,4
11_741332,11,18d0c864e552,אמליה רמביסווסקה,מכבי חיפה הפניקס,,29/09/2025,22,1,27,5,1,3,33.3,1,4,25.0,2,7,28.6,0,0,0.0,2,1,3,3,1,0,1,0,0,0,0
11_741332,11,6cd1d8578b06,כריסטינה יסמ היגינס,מכבי חיפה הפניקס,,29/09/2025,44,1,26,11,5,7,71.4,0,1,0.0,5,8,62.5,1,3,33.3,5,1,6,2,2,0,0,3,0,0,15
11_741332,11,340184fb58b4,בטי מונונגה,מכבי חיפה הפניקס,,29/09/2025,2,0,26,6,3,6,50.0,0,1,0.0,3,7,42.9,0,0,0.0,6,3,9,3,0,2,5,2,0,0,7
11_741332,11,7576c83d8119,נעמה הלוי,מכבי חיפה הפניקס,,29/09/2025,7,0,18,5,1,1,100.0,1,4,25.0,2,5,40.0,0,2,0.0,1,1,2,1,2,0,1,1,0,0,3
11_741332,11,ea3bb90cec60,מיקה ינאי,מכבי חיפה הפניקס,,29/09/2025,23,0,5,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,2,0,0,0,-1
11_741332,11,0a1525993ece,דיאישה פר,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,2,1,36,15,2,7,28.6,3,10,30.0,5,17,29.4,2,2,100.0,3,2,5,3,3,3,7,2,0,0,6
11_741332,11,9f692e7a0a76,סוואנה ווילקינסון,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,12,1,34,20,6,11,54.5,2,4,50.0,8,15,53.3,2,6,33.3,9,0,9,2,5,2,3,0,0,1,19
11_741332,11,aa54af580295,זיומארה מוריסון,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,7,1,25,9,2,6,33.3,1,1,100.0,3,7,42.9,2,2,100.0,2,2,4,4,3,2,1,1,0,0,10
11_741332,11,c28545e4a2c5,ג'וי אוסיגוואי,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,15,1,23,4,2,6,33.3,0,6,0.0,2,12,16.7,0,4,0.0,1,2,3,3,2,3,2,4,0,0,-3
11_741332,11,518e1bcc9d2d,נועה מגד,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,21,1,10,1,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,3,1,0,1,0,0,0,-2
11_741332,11,ff32e938f722,אניה פוקס-רובטין,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,18,0,33,11,3,6,50.0,0,0,0.0,3,6,50.0,5,5,100.0,4,4,8,3,5,2,0,3,0,0,23
11_741332,11,d6fb9238becd,ירדן דנן,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,8,0,21,5,1,2,50.0,1,4,25.0,2,6,33.3,0,0,0.0,1,1,2,0,1,1,1,2,0,0,6
11_741332,11,eed57c68627f,נטע מישר,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,33,0,15,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,3,1,0,3,1,0,0,-3
11_741332,11,c6469943cac2,נוגה הרן,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,6,0,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
11_741329,11,b19de6c344f9,קטרינה ווצ'קוביצ',מכבי כרמיאל,1219.0,29/09/2025,22,1,39,13,5,7,71.4,1,4,25.0,6,11,54.5,0,0,0.0,8,0,8,4,0,3,2,4,2,0,19
11_741329,11,cf9c50272e63,אריאל הירן,מכבי כרמיאל,1219.0,29/09/2025,20,1,37,19,5,12,41.7,1,4,25.0,6,16,37.5,6,7,85.7,7,1,8,3,4,4,1,7,0,0,27
11_741329,11,57a854675e35,ניצן עמאר,מכבי כרמיאל,1219.0,29/09/2025,21,1,37,11,2,6,33.3,2,5,40.0,4,11,36.4,1,2,50.0,7,3,10,2,1,1,1,0,0,0,12
11_741329,11,f96d83e0b715,אופיר לביא,מכבי כרמיאל,1219.0,29/09/2025,5,1,35,16,2,5,40.0,4,9,44.4,6,14,42.9,0,0,0.0,4,0,4,3,1,3,2,3,0,0,14
11_741329,11,a7bba4c05f53,בריה שאנטי הולמס,מכבי כרמיאל,1219.0,29/09/2025,2,1,35,19,7,10,70.0,1,5,20.0,8,15,53.3,2,2,100.0,6,2,8,0,1,2,4,2,0,0,21
11_741329,11,a7b49eea17e1,יעל טויטו,מכבי כרמיאל,1219.0,29/09/2025,15,0,18,1,0,1,0.0,0,0,0.0,0,1,0.0,1,2,50.0,3,0,3,3,3,0,2,5,0,0,5
11_741329,11,9643ff36df13,מיה הולינגשד,אליצור חולון,,29/09/2025,21,1,38,15,3,10,30.0,2,4,50.0,5,14,35.7,3,5,60.0,10,7,17,0,5,1,3,1,0,0,25
11_741329,11,3e6104526d54,אליסה בארון,אליצור חולון,,29/09/2025,1,1,36,22,4,9,44.4,4,11,36.4,8,20,40.0,2,2,100.0,5,1,6,2,3,4,3,2,0,0,20
11_741329,11,c62fa5c75355,צליל וטורי,אליצור חולון,,29/09/2025,10,1,25,2,1,5,20.0,0,6,0.0,1,11,9.1,0,0,0.0,3,1,4,0,0,0,5,3,0,0,-6
11_741329,11,5992ddcaf58a,אומו דיאלו,אליצור חולון,,29/09/2025,15,1,25,12,6,10,60.0,0,0,0.0,6,10,60.0,0,2,0.0,0,0,0,3,5,0,0,1,0,1,8
11_741329,11,e56974416b40,איילה אורן,אליצור חולון,,29/09/2025,5,1,20,0,0,4,0.0,0,2,0.0,0,6,0.0,0,0,0.0,4,1,5,3,1,1,1,5,0,0,2
11_741329,11,ce66e69e849a,שקיילה ג'וזף,אליצור חולון,,29/09/2025,11,0,30,5,1,5,20.0,1,4,25.0,2,9,22.2,0,0,0.0,6,3,9,1,1,3,3,4,0,0,11
11_741329,11,3dbddb2585f7,מעיין כהן,אליצור חולון,,29/09/2025,2,0,27,11,1,4,25.0,3,10,30.0,4,14,28.6,0,0,0.0,2,1,3,1,0,0,1,4,0,1,5
