game_id,league_id,team,team_id,opponent,opponent_id,game_date,quarter,score,score_against
11_741332,11,מכבי חיפה הפניקס,,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,Q1,20,17
11_741332,11,מכבי חיפה הפניקס,,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,Q2,13,10
11_741332,11,מכבי חיפה הפניקס,,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,Q3,13,23
11_741332,11,מכבי חיפה הפניקס,,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,Q4,22,15
11_741332,11,הפועל לב ירושלים פארק בית הכרם,,מכבי חיפה הפניקס,,29/09/2025,Q1,17,20
11_741332,11,הפועל לב ירושלים פארק בית הכרם,,מכבי חיפה הפניקס,,29/09/2025,Q2,10,13
11_741332,11,הפועל לב ירושלים פארק בית הכרם,,מכבי חיפה הפניקס,,29/09/2025,Q3,23,13
11_741332,11,הפועל לב ירושלים פארק בית הכרם,,מכבי חיפה הפניקס,,29/09/2025,Q4,15,22
11_741329,11,מכבי כרמיאל,1219.0,אליצור חולון,,29/09/2025,Q1,25,16
11_741329,11,מכבי כרמיאל,1219.0,אליצור חולון,,29/09/2025,Q2,27,18
11_741329,11,מכבי כרמיאל,1219.0,אליצור חולון,,29/09/2025,Q3,17,17
11_741329,11,מכבי כרמיאל,1219.0,אליצור חולון,,29/09/2025,Q4,10,16
11_741329,11,אליצור חולון,,מכבי כרמיאל,1219.0,29/09/2025,Q1,16,25
11_741329,11,אליצור חולון,,מכבי כרמיאל,1219.0,29/09/2025,Q2,18,27
11_741329,11,אליצור חולון,,מכבי כרמיאל,1219.0,29/09/2025,Q3,17,17
11_741329,11,אליצור חולון,,מכבי כרמיאל,1219.0,29/09/2025,Q4,16,10
11_741328,11,הפועל באר שבע/דימונה,10197.0,מכבי אשדוד נשים,,29/09/2025,Q1,22,18
11_741328,11,הפועל באר שבע/דימונה,10197.0,מכבי אשדוד נשים,,29/09/2025,Q2,11,16
11_741328,11,הפועל באר שבע/דימונה,10197.0,מכבי אשדוד נשים,,29/09/2025,Q3,24,24
11_741328,11,הפועל באר שבע/דימונה,10197.0,מכבי אשדוד נשים,,29/09/2025,Q4,14,23
11_741328,11,מכבי אשדוד נשים,,הפועל באר שבע/דימונה,10197.0,29/09/2025,Q1,18,22
11_741328,11,מכבי אשדוד נשים,,הפועל באר שבע/דימונה,10197.0,29/09/2025,Q2,16,11
11_741328,11,מכבי אשדוד נשים,,הפועל באר שבע/דימונה,10197.0,29/09/2025,Q3,24,24
11_741328,11,מכבי אשדוד נשים,,הפועל באר שבע/דימונה,10197.0,29/09/2025,Q4,23,14
11_741331,11,מכבי עירוני רמת גן,,הפועל ראשון לציון,,29/09/2025,Q1,14,21
11_741331,11,מכבי עירוני רמת גן,,הפועל ראשון לציון,,29/09/2025,Q2,27,12
11_741331,11,מכבי עירוני רמת גן,,הפועל ראשון לציון,,29/09/2025,Q3,18,16
11_741331,11,מכבי עירוני רמת גן,,הפועל ראשון לציון,,29/09/2025,Q4,16,7
11_741331,11,הפועל ראשון לציון,,מכבי עירוני רמת גן,,29/09/2025,Q1,21,14
11_741331,11,הפועל ראשון לציון,,מכבי עירוני רמת גן,,29/09/2025,Q2,12,27
11_741331,11,הפועל ראשון לציון,,מכבי עירוני רמת גן,,29/09/2025,Q3,16,18
11_741331,11,הפועל ראשון לציון,,מכבי עירוני רמת גן,,29/09/2025,Q4,7,16
11_741337,11,מכבי אשדוד נשים,,הפועל לב ירושלים פארק בית הכרם,,09/10/2025,Q1,24,17
11_741337,11,מכבי אשדוד נשים,,הפועל לב ירושלים פארק בית הכרם,,09/10/2025,Q2,23,16
11_741337,11,מכבי אשדוד נשים,,הפועל לב ירושלים פארק בית הכרם,,09/10/2025,Q3,7,17
11_741337,11,מכבי אשדוד נשים,,הפועל לב ירושלים פארק בית הכרם,,09/10/2025,Q4,18,17
11_741337,11,הפועל לב ירושלים פארק בית הכרם,,מכבי אשדוד נשים,,09/10/2025,Q1,17,24
11_741337,11,הפועל לב ירושלים פארק בית הכרם,,מכבי אשדוד נשים,,09/10/2025,Q2,16,23
11_741337,11,הפועל לב ירושלים פארק בית הכרם,,מכבי אשדוד נשים,,09/10/2025,Q3,17,7
11_741337,11,הפועל לב ירושלים פארק בית הכרם,,מכבי אשדוד נשים,,09/10/2025,Q4,17,18
11_741335,11,בנות פתח תקווה,181.0,מכבי עירוני רמת גן,,09/10/2025,Q1,21,23
11_741335,11,בנות פתח תקווה,181.0,מכבי עירוני רמת גן,,09/10/2025,Q2,20,16
11_741335,11,בנות פתח תקווה,181.0,מכבי עירוני רמת גן,,09/10/2025,Q3,15,21
11_741335,11,בנות פתח תקווה,181.0,מכבי עירוני רמת גן,,09/10/2025,Q4,10,24
11_741335,11,מכבי עירוני רמת גן,,בנות פתח תקווה,181.0,09/10/2025,Q1,23,21
11_741335,11,מכבי עירוני רמת גן,,בנות פתח תקווה,181.0,09/10/2025,Q2,16,20
11_741335,11,מכבי עירוני רמת גן,,בנות פתח תקווה,181.0,09/10/2025,Q3,21,15
