league_id,gameid,League,Code,Week Day,Date,Round,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
11,11_741332,ליגת על נשים,741332,יום שני,29/09/2025,1,19:00,מכבי חיפה,864,הפועל לב ירושלים,7735,"רח' ביכורים 19, חיפה (עליון)",68.0,65.0
11,11_741329,ליגת על נשים,741329,יום שני,29/09/2025,1,19:00,מכבי כרמיאל,1219,אליצור חולון,907,"היכל הורוביץ, רח' מורד הגיא 5, כרמיאל",79.0,67.0
11,11_741330,ליגת על נשים,741330,יום שני,29/09/2025,1,19:00,אליצור נוה דוד רמלה,2100,בנות פתח תקווה,181,"רח' יאיר שטרן 29, קרית מנחם, רמלה",,
11,11_741328,ליגת על נשים,741328,יום שני,29/09/2025,1,19:00,הפועל באר שבע/דימונה,10197,מכבי אשדוד,194,"רח' האצ""ל 4, באר שבע",81.0,71.0
11,11_741331,ליגת על נשים,741331,יום שני,29/09/2025,1,21:10,מכבי רמת גן,210,הפועל ראשון לציון,520,"אולם זיסמן, דרך הטייסים 85, רמת גן",56.0,75.0
11,11_741337,ליגת על נשים,741337,יום חמישי,09/10/2025,2,17:45,מכבי אשדוד,194,הפועל לב ירושלים,7735,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",72.0,67.0
11,11_741335,ליגת על נשים,741335,יום חמישי,09/10/2025,2,19:00,בנות פתח תקווה,181,מכבי רמת גן,210,"ביה""ס יצחק שמיר, רח' אחים בכר 3, פתח תקווה",84.0,66.0
11,11_741334,ליגת על נשים,741334,יום חמישי,09/10/2025,2,19:00,הפועל ראשון לציון,520,מכבי חיפה,864,"היכל הספורט גן נחום, ראשון לציון",70.0,74.0
11,11_741336,ליגת על נשים,741336,יום חמישי,09/10/2025,2,19:00,אליצור חולון,907,אליצור נוה דוד רמלה,2100,"טוטו ארנה, שדרות ירושלים 220, חולון",65.0,70.0
11,11_741341,ליגת על נשים,741341,יום שני,20/10/2025,3,19:00,מכבי חיפה,864,בנות פתח תקווה,181,"רח' ביכורים 19, חיפה (עליון)",,
11,11_741338,ליגת על נשים,741338,יום שני,20/10/2025,3,19:00,מכבי כרמיאל,1219,מכבי אשדוד,194,"היכל הורוביץ, רח' מורד הגיא 5, כרמיאל",,
11,11_741339,ליגת על נשים,741339,יום שני,20/10/2025,3,19:00,אליצור נוה דוד רמלה,2100,הפועל באר שבע/דימונה,10197,"רח' יאיר שטרן 29, קרית מנחם, רמלה",,
11,11_741342,ליגת על נשים,741342,יום שני,20/10/2025,3,19:00,הפועל לב ירושלים,7735,הפועל ראשון לציון,520,"היכל הספורט מלחה, רח' שטרן 3, ירושלים",,
11,11_741340,ליגת על נשים,741340,יום שני,20/10/2025,3,21:00,אליצור חולון,907,מכבי רמת גן,210,"טוטו ארנה, שדרות ירושלים 220, חולון",,
11,11_741347,ליגת על נשים,741347,יום חמישי,23/10/2025,4,18:30,מכבי אשדוד,194,הפועל ראשון לציון,520,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
11,11_741343,ליגת על נשים,741343,יום חמישי,23/10/2025,4,19:00,הפועל באר שבע/דימונה,10197,מכבי רמת גן,210,"רח' האצ""ל 4, באר שבע",,
11,11_741345,ליגת על נשים,741345,יום חמישי,23/10/2025,4,19:00,בנות פתח תקווה,181,הפועל לב ירושלים,7735,"ביה""ס יצחק שמיר, רח' אחים בכר 3, פתח תקווה",,
11,11_741346,ליגת על נשים,741346,יום חמישי,23/10/2025,4,19:00,אליצור חולון,907,מכבי חיפה,864,"טוטו ארנה, שדרות ירושלים 220, חולון",,
11,11_741344,ליגת על נשים,741344,יום חמישי,23/10/2025,4,19:00,מכבי כרמיאל,1219,אליצור נוה דוד רמלה,2100,"היכל הורוביץ, רח' מורד הגיא 5, כרמיאל",,
11,11_741350,ליגת על נשים,741350,יום שני,27/10/2025,5,19:00,מכבי חיפה,864,הפועל באר שבע/דימונה,10197,"רח' ביכורים 19, חיפה (עליון)",,
11,11_741349,ליגת על נשים,741349,יום שני,27/10/2025,5,19:00,מכבי רמת גן,210,מכבי כרמיאל,1219,"אולם זיסמן, דרך הטייסים 85, רמת גן",,
11,11_741352,ליגת על נשים,741352,יום שני,27/10/2025,5,19:00,הפועל ראשון לציון,520,בנות פתח תקווה,181,"היכל הספורט גן נחום, ראשון לציון",,
11,11_741348,ליגת על נשים,741348,יום שני,27/10/2025,5,19:00,אליצור נוה דוד רמלה,2100,מכבי אשדוד,194,"רח' יאיר שטרן 29, קרית מנחם, רמלה",,
11,11_741351,ליגת על נשים,741351,יום שני,27/10/2025,5,19:00,הפועל לב ירושלים,7735,אליצור חולון,907,"היכל הספורט מלחה, רח' שטרן 3, ירושלים",,
11,11_741333,ליגת על נשים,741333,יום חמישי,30/10/2025,2,19:00,הפועל באר שבע/דימונה,10197,מכבי כרמיאל,1219,"רח' האצ""ל 4, באר שבע",,
11,11_741357,ליגת על נשים,741357,יום שני,03/11/2025,6,19:00,מכבי אשדוד,194,בנות פתח תקווה,181,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",,
11,11_741356,ליגת על נשים,741356,יום שני,03/11/2025,6,19:00,אליצור חולון,907,הפועל ראשון לציון,520,"טוטו ארנה, שדרות ירושלים 220, חולון",,
11,11_741354,ליגת על נשים,741354,יום שני,03/11/2025,6,19:00,מכבי כרמיאל,1219,מכבי חיפה,864,"היכל הורוביץ, רח' מורד הגיא 5, כרמיאל",,
11,11_741355,ליגת על נשים,741355,יום שני,03/11/2025,6,19:00,אליצור נוה דוד רמלה,2100,מכבי רמת גן,210,"רח' יאיר שטרן 29, קרית מנחם, רמלה",,
11,11_741353,ליגת על נשים,741353,יום שני,03/11/2025,6,19:00,הפועל באר שבע/דימונה,10197,הפועל לב ירושלים,7735,"רח' האצ""ל 4, באר שבע",,
11,11_741362,ליגת על נשים,741362,יום שני,24/11/2025,7,19:00,בנות פתח תקווה,181,אליצור חולון,907,"ביה""ס יצחק שמיר, רח' אחים בכר 3, פתח תקווה",,
11,11_741358,ליגת על נשים,741358,יום שני,24/11/2025,7,19:00,מכבי רמת גן,210,מכבי אשדוד,194,"אולם זיסמן, דרך הטייסים 85, רמת גן",,
11,11_741361,ליגת על נשים,741361,יום שני,24/11/2025,7,19:00,הפועל ראשון לציון,520,הפועל באר שבע/דימונה,10197,"היכל הספורט גן נחום, ראשון לציון",,
11,11_741359,ליגת על נשים,741359,יום שני,24/11/2025,7,19:00,מכבי חיפה,864,אליצור נוה דוד רמלה,2100,"רח' ביכורים 19, חיפה (עליון)",,
11,11_741360,ליגת על נשים,741360,יום שני,24/11/2025,7,19:00,הפועל לב ירושלים,7735,מכבי כרמיאל,1219,"היכל הספורט מלחה, רח' שטרן 3, ירושלים",,
